Language,Count
JavaScript,14923
SQL,12585
HTML/CSS,12392
TypeScript,10699
Python,9580
Bash/Shell (all shells),7237
C#,6332
Java,5974
PHP,4637
PowerShell,3433
Go,3302
C++,3075
C,2774
Rust,2281
Kotlin,1954
Ruby,1498
Dart,1386
Lua,1160
Visual Basic (.Net),956
Swift,896
Groovy,755
R,711
VBA,709
Assembly,683
Elixir,673
MATLAB,591
Scala,506
Perl,463
Objective-C,390
GDScript,387
Delphi,349
Solidity,302
Haskell,300
MicroPython,284
Erlang,251
Clojure,245
Lisp,237
F#,194
Zig,187
Apex,176
Prolog,151
Julia,143
Fortran,141
Cobol,122
Ada,107
OCaml,105
Crystal,83
Nim,54
Zephyr,39
