Language,Count
JavaScript,11525
SQL,10929
TypeScript,10427
HTML/CSS,10001
Python,8905
Go,5655
Rust,5592
C#,5583
Bash/Shell (all shells),5575
Java,4042
PHP,2789
Kotlin,2736
C++,2336
PowerShell,2071
C,1830
Dart,1502
Swift,1378
Elixir,1333
Ruby,1291
Zig,1135
Lua,1068
Assembly,593
R,590
Scala,568
F#,530
Haskell,516
GDScript,494
Erlang,455
Clojure,447
Solidity,419
MicroPython,376
Groovy,344
Lisp,331
OCaml,321
Visual Basic (.Net),319
Julia,254
Perl,244
VBA,225
Objective-C,218
MATLAB,204
Delphi,159
Crystal,156
Nim,146
Apex,128
Cobol,117
Prolog,109
Ada,102
Fortran,89
Zephyr,63
